interval_start_utc,interval_end_utc,net_load,renewables,renewables_to_load_ratio,load.load,load.ae,load.aep,load.aps,load.atsi,load.bc,load.comed,load.dayton,load.deok,load.dom,load.dpl,load.duq,load.ekpc,load.jc,load.me,load.pe,load.pep,load.pjm_mid_atlantic_region,load.pjm_rto,load.pjm_southern_region,load.pjm_western_region,load.pl,load.pn,load.ps,load.reco,load_forecast.load_forecast,fuel_mix.coal,fuel_mix.gas,fuel_mix.hydro,fuel_mix.multiple_fuels,fuel_mix.nuclear,fuel_mix.oil,fuel_mix.solar,fuel_mix.storage,fuel_mix.wind,fuel_mix.other,fuel_mix.other_renewables
2024-02-02 06:00:00+00:00,2024-02-02 07:00:00+00:00,76590.426175,7095.666666666667,0.08715766110188543,81410.84284166667,974.6559749166667,13764.774608333333,5153.73876,6738.641791666666,2931.2539691666666,9420.059,1733.5537016666665,2562.979314166667,12769.132458333333,1902.0794641666664,1301.230905,1691.358800833333,2094.6693616666666,1673.7532425000002,3694.616745833333,2642.2959491666666,26274.802891666677,81410.84284166667,12769.132458333333,40671.59983333334,4322.318295833334,1876.8812275,4193.795200833333,132.4688079166667,80974.91666666667,12650.083333333334,37342.75,1610.25,178.91666666666666,33490.416666666664,213.75,28.0,0.0,4792.416666666667,,665.0
2024-02-02 07:00:00+00:00,2024-02-02 08:00:00+00:00,75796.96193333334,7004.916666666667,0.08696517548354284,80548.87860000001,959.7108528333333,13651.736241666667,5079.749023333334,6695.766738333335,2887.759204166667,9238.271916666667,1705.9102375,2528.5462233333333,12731.91545,1880.3926599999998,1287.5907249999998,1736.2932525000003,2059.7872908333334,1648.8603300000002,3636.4260274999997,2601.015801666667,25894.66549166666,80548.87860000001,12731.91545,40184.72725833335,4274.173115833333,1855.0352325000001,4113.705940833333,129.8869579166667,80655.625,12534.25,35971.0,1586.25,179.0,33491.916666666664,214.91666666666666,28.0,0.0,4723.916666666667,,666.75
2024-02-02 08:00:00+00:00,2024-02-02 09:00:00+00:00,75639.61676666669,7359.333333333333,0.09114030061801821,80746.11676666669,956.4416074999999,13789.037391666665,5092.507420833334,6792.8509525,2900.0003783333336,9135.142166666667,1707.6283866666665,2512.922463333334,12799.998758333333,1880.3720766666665,1276.9983175,1757.06041,2063.9283241666667,1647.0730275000003,3637.075376666667,2609.5847558333335,25881.969675,80746.11676666669,12799.998758333333,40304.23106666667,4277.776999999999,1855.7280825,4087.4781791666665,129.7218358333333,81363.33333333333,12508.5,35224.75,1588.5833333333333,179.0,33492.916666666664,215.0,28.0,0.0,5078.5,,664.25
2024-02-02 09:00:00+00:00,2024-02-02 10:00:00+00:00,77024.78661666666,7180.25,0.0876542883241621,81920.86995,971.3106125000003,13974.714991666668,5195.2099675,6861.203419166667,2981.207946666667,9085.568250000002,1752.6734933333337,2543.6528983333333,13062.205275000002,1921.8439875000001,1318.4279999999999,1700.6803608333332,2110.2399250000003,1685.5896916666668,3689.1747216666668,2683.899235833334,26424.3846,81920.86995,13062.205275000002,40736.18018333334,4368.8388583333335,1893.3656883333333,4144.8681775000005,131.2209589166667,83934.95833333333,12556.5,36217.583333333336,1620.1666666666667,179.0,33495.75,217.75,28.0,0.0,4868.083333333333,,664.0
2024-02-02 10:00:00+00:00,2024-02-02 11:00:00+00:00,81383.76406666667,6797.083333333333,0.07916627665597083,85892.93073333333,1020.833585,14597.89985,5439.2113575,7245.5645075,3183.6822374999997,9289.801500000001,1842.7698833333334,2667.6767141666664,13683.969500000001,2053.6450225,1367.0061916666666,1726.542588333333,2236.8969225,1778.3995008333331,3915.9399633333337,2906.4399474999996,28031.31110833333,85892.93073333333,13683.969500000001,42454.277825,4605.3592708333335,1996.4282741666666,4344.7403425,138.07932583333334,89331.16666666667,12696.666666666666,36971.166666666664,1623.9166666666667,179.91666666666666,33502.416666666664,221.66666666666666,28.0,0.0,4481.166666666667,,664.0
2024-02-02 11:00:00+00:00,2024-02-02 12:00:00+00:00,88533.67193333333,7554.166666666667,0.0814463112810783,92759.42193333333,1109.1531058333333,15667.875125000004,5841.192455,7762.0819200000005,3495.5683324999995,9804.950608333333,2009.6150749999997,2901.0139216666666,14730.022625,2256.729461666667,1452.607505,1936.4120266666666,2453.54518,1928.859209166667,4274.84899,3242.6710225,30655.08635833333,92759.42193333333,14730.022625,45441.158516666655,5079.506894166667,2146.197625833333,4679.959244166667,149.81426941666666,95393.08333333333,13226.916666666666,40063.333333333336,2662.5833333333335,180.0,33501.166666666664,225.66666666666666,28.0,14.666666666666666,4197.75,,665.8333333333334
2024-02-02 12:00:00+00:00,2024-02-02 13:00:00+00:00,94018.49421666667,9056.916666666666,0.09240945579239289,97984.99421666667,1165.62172,16293.813641666666,6134.140441666667,8264.509468333335,3683.781392499999,10627.425208333334,2138.110555833333,3096.1972774999995,15282.562325,2352.5357508333336,1545.6176866666667,2086.6547358333337,2616.293533333333,2026.1114141666665,4570.616466666666,3469.0772483333335,32515.502916666665,97984.99421666667,15282.562325,48101.223991666666,5357.587970833333,2269.860458333333,4988.298337499999,161.98183008333334,98470.95833333333,14361.166666666666,43375.0,4429.0,180.0,33490.916666666664,218.66666666666666,70.16666666666667,15.083333333333334,3896.3333333333335,,661.4166666666666
2024-02-02 13:00:00+00:00,2024-02-02 14:00:00+00:00,94255.29005000001,9216.333333333334,0.09323220122175917,98853.87338333332,1178.4206933333335,16242.499183333335,6161.623509166667,8321.514291666666,3700.2403124999996,11117.045183333335,2161.4163725000003,3125.0843316666665,15069.641341666664,2354.733540833333,1578.9651075,2058.8868116666667,2701.062654166666,2055.735795833333,4671.052276666666,3509.820220833333,33017.39193333334,98853.87338333332,15069.641341666664,48711.6058,5442.514805000001,2306.529298333333,5114.028274166667,168.34311066666666,98582.0,15211.666666666666,44950.833333333336,3960.4166666666665,180.91666666666666,33493.666666666664,214.33333333333334,824.75,1.25,3773.8333333333335,,657.3333333333334
2024-02-02 14:00:00+00:00,2024-02-02 15:00:00+00:00,92626.868825,8991.666666666666,0.09149637364078456,98273.95215833333,1182.6682433333333,16048.117708333333,6179.954999166667,8383.383916666668,3680.833428333333,11340.111958333333,2175.1959583333337,3099.8624791666666,14288.435400000002,2345.2530875,1603.6659633333331,1966.3944841666669,2673.7321799999995,2054.3482675,4727.7599275,3467.5341600000006,33189.045075,98273.95215833333,14288.435400000002,48829.771625,5481.785690000001,2283.0378516666665,5222.0103524999995,172.40970566666667,98018.95833333333,15445.916666666666,44726.166666666664,2691.25,181.0,33496.75,214.91666666666666,2180.0,0.0,3467.0833333333335,,653.3333333333334
2024-02-02 15:00:00+00:00,2024-02-02 16:00:00+00:00,91673.164975,8947.166666666666,0.0915195570053461,97763.08164166666,1182.3672616666665,15999.359616666667,6188.527393333334,8465.13675,3659.9444916666666,11475.863066666667,2185.999296666667,3033.2912775,13831.2819,2315.4139941666667,1609.1723725000002,1822.4247750000002,2673.7321799999995,2035.2009208333336,4744.079954166667,3419.6186341666676,33149.977666666666,97763.08164166666,13831.2819,48959.70928333333,5476.763609166665,2319.4915716666665,5268.694496666666,174.52711399999998,97222.25,15249.25,44662.0,2212.5,181.0,33354.916666666664,215.91666666666666,2957.0,0.0,3132.9166666666665,,644.75
